Type,NSfraction,DN,RF-F/F,RTJ F/F,BW-F/F,RF/RTJ KG,BW KG,Rating,NS,TypeDesc,TypeNum
FLA,54,1350,251,0,0,1090,0,300,54,Weldneck Flange Series A,1
FLA,56,1400,259,0,0,1146,0,300,56,Weldneck Flange Series A,1
FLA,58,1450,265,0,0,1215,0,300,58,Weldneck Flange Series A,1
FLA,60,1500,271,0,0,1308,0,300,60,Weldneck Flange Series A,1
FLA,26,650,194,0,0,565,0,400,26,Weldneck Flange Series A,1
FLA,28,700,206,0,0,715,0,400,28,Weldneck Flange Series A,1
FLA,30,750,219,0,0,830,0,400,30,Weldneck Flange Series A,1
FLA,32,800,232,0,0,955,0,400,32,Weldneck Flange Series A,1
FLA,34,850,241,0,0,1120,0,400,34,Weldneck Flange Series A,1
FLA,36,900,251,0,0,1290,0,400,36,Weldneck Flange Series A,1
FLA,38,950,206,0,0,1165,0,400,38,Weldneck Flange Series A,1
FLA,40,1000,216,0,0,1350,0,400,40,Weldneck Flange Series A,1
FLA,42,1050,224,0,0,1503,0,400,42,Weldneck Flange Series A,1
FLA,44,1100,233,0,0,1723,0,400,44,Weldneck Flange Series A,1
FLA,46,1150,244,0,0,1942,0,400,46,Weldneck Flange Series A,1
FLA,48,1200,257,0,0,2234,0,400,48,Weldneck Flange Series A,1
FLA,50,1250,268,0,0,2499,0,400,50,Weldneck Flange Series A,1
FLA,52,1300,276,0,0,2733,0,400,52,Weldneck Flange Series A,1
FLA,54,1350,289,0,0,3152,0,400,54,Weldneck Flange Series A,1
FLA,56,1400,298,0,0,3460,0,400,56,Weldneck Flange Series A,1
FLA,58,1450,306,0,0,3740,0,400,58,Weldneck Flange Series A,1
FLA,60,1500,319,0,0,4274,0,400,60,Weldneck Flange Series A,1
FLA,26,650,222,0,0,581,0,600,26,Weldneck Flange Series A,1
FLA,28,700,235,0,0,668,0,600,28,Weldneck Flange Series A,1
FLA,30,750,248,0,0,741,0,600,30,Weldneck Flange Series A,1
FLA,32,800,260,0,0,849,0,600,32,Weldneck Flange Series A,1
FLA,34,850,270,0,0,920,0,600,34,Weldneck Flange Series A,1
FLA,36,900,283,0,0,999,0,600,36,Weldneck Flange Series A,1
FLA,38,950,254,0,0,1032,0,600,38,Weldneck Flange Series A,1
FLA,40,1000,264,0,0,1003,0,600,40,Weldneck Flange Series A,1
FLA,42,1050,279,0,0,1231,0,600,42,Weldneck Flange Series A,1
FLA,44,1100,289,0,0,1341,0,600,44,Weldneck Flange Series A,1
FLA,46,1150,300,0,0,1459,0,600,46,Weldneck Flange Series A,1
FLA,48,1200,316,0,0,1798,0,600,48,Weldneck Flange Series A,1
FLA,50,1250,329,0,0,1900,0,600,50,Weldneck Flange Series A,1
FLA,52,1300,337,0,0,2197,0,600,52,Weldneck Flange Series A,1
FLA,54,1400,349,0,0,2242,0,600,54,Weldneck Flange Series A,1
FLA,56,1450,362,0,0,2829,0,600,56,Weldneck Flange Series A,1
FLA,58,1500,370,0,0,2632,0,600,58,Weldneck Flange Series A,1
FLA,60,1550,389,0,0,3386,0,600,60,Weldneck Flange Series A,1
FLA,26,650,286,0,0,1014,0,900,26,Weldneck Flange Series A,1
FLA,28,700,298,0,0,1216,0,900,28,Weldneck Flange Series A,1
FLA,30,750,311,0,0,1365,0,900,30,Weldneck Flange Series A,1
FLA,32,800,330,0,0,1628,0,900,32,Weldneck Flange Series A,1
FLA,34,850,349,0,0,1993,0,900,34,Weldneck Flange Series A,1
FLA,36,900,362,0,0,2196,0,900,36,Weldneck Flange Series A,1
FLA,38,950,352,0,0,2115,0,900,38,Weldneck Flange Series A,1
FLA,40,1000,364,0,0,2351,0,900,40,Weldneck Flange Series A,1
FLA,42,1050,371,0,0,2511,0,900,42,Weldneck Flange Series A,1
FLA,44,1100,391,0,0,2939,0,900,44,Weldneck Flange Series A,1
FLA,46,1150,411,0,0,3464,0,900,46,Weldneck Flange Series A,1
FLA,48,1200,419,0,0,3661,0,900,48,Weldneck Flange Series A,1
WNB,26,650,87,0,0,63,0,150,26,Weldneck Flange Series B,1
WNB,28,700,94,0,0,74,0,150,28,Weldneck Flange Series B,1
WNB,30,750,98,0,0,80,0,150,30,Weldneck Flange Series B,1
WNB,32,800,106,0,0,92,0,150,32,Weldneck Flange Series B,1
WNB,34,850,109,0,0,113,0,150,34,Weldneck Flange Series B,1
WNB,36,900,116,0,0,129,0,150,36,Weldneck Flange Series B,1
WNB,38,950,122,0,0,149,0,150,38,Weldneck Flange Series B,1
WNB,40,1000,127,0,0,176,0,150,40,Weldneck Flange Series B,1
WNB,42,1050,132,0,0,184,0,150,42,Weldneck Flange Series B,1
WNB,44,1100,135,0,0,200,0,150,44,Weldneck Flange Series B,1
WNB,46,1150,143,0,0,216,0,150,46,Weldneck Flange Series B,1
WNB,48,1200,148,0,0,231,0,150,48,Weldneck Flange Series B,1
WNB,50,1250,152,0,0,250,0,150,50,Weldneck Flange Series B,1
WNB,52,1300,156,0,0,269,0,150,52,Weldneck Flange Series B,1
WNB,54,1350,160,0,0,287,0,150,54,Weldneck Flange Series B,1
WNB,56,1400,165,0,0,321,0,150,56,Weldneck Flange Series B,1
WNB,58,1450,173,0,0,355,0,150,58,Weldneck Flange Series B,1
WNB,60,1500,178,0,0,388,0,150,60,Weldneck Flange Series B,1
Flg,0+1/2,15,48,0,0,1,0,150,0.5,Weldneck Flange,1
Flg,0+3/4,20,53,0,0,1,0,150,0.75,Weldneck Flange,1
VLV3-1,22,550,,,1092,2831,,150,22,Flanged Ball Valve -Full Bore,2
VLV3-1,22,550,,,,3346,,300,22,Flanged Ball Valve -Full Bore,2
VLV3-1,24,600,1067,1080,1143,3750,,150,24,Flanged Ball Valve -Full Bore,2
VLV3-1,24,600,1549,1568,1549,10245,,900,24,Flanged Ball Valve -Full Bore,2
VLV3-1,24,600,1143,1165,1143,4600,,300,24,Flanged Ball Valve -Full Bore,2
VLV3-1,24,600,1397,1407,1397,6385,,600,24,Flanged Ball Valve -Full Bore,2
VLV3-1,26,650,1448,1461,1448,6984,,600,26,Flanged Ball Valve -Full Bore,2
VLV3-1,26,650,1245,1270,1245,5716,,300,26,Flanged Ball Valve -Full Bore,2
VLV3-1,26,650,,,1245,4711,,150,26,Flanged Ball Valve -Full Bore,2
VLV3-1,28,700,1346,1371,1346,7565,,300,28,Flanged Ball Valve -Full Bore,2
VLV3-1,28,700,,,1346,5444,,150,28,Flanged Ball Valve -Full Bore,2
VLV3-1,28,700,1549,1562,1549,8371,,600,28,Flanged Ball Valve -Full Bore,2
VLV3-1,30,750,1397,1422,1397,8073,,300,30,Flanged Ball Valve -Full Bore,2
VLV3-1,30,750,,,1397,6334,,150,30,Flanged Ball Valve -Full Bore,2
